name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite,ecsv_isCosmetic,ecsv_isRestricted,ecsv_isCustomizable,ecsv_applicableChecks,ecsv_lockedInChecks,ecsv_lockedOutChecks
EHM Tracker,lyr_tracker,1,,Experimental,,,,,TRUE,TRUE,0,0,0,0,lyravega.listeners.lyr_fleetTracker$lyr_tracker,,,,,,,,,,
Experimental Hull Modifications,ehm_base,1,,Experimental,"ehm, no_build_in, no_drop, no_drop_salvage, special, restricted","Systems, Retrofits, Cosmetics, Activators",25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm.ehm_base,"Provides a base for all other experimental hull modifications to use. Without this, none of them can be installed or may be with unexpected results.",Installs EHM base to the ship.,,data/graphics/experimental_smol.png,true,,,,,
Experimental Module,ehm_module_base,1,,Experimental,"ehm, no_build_in, no_drop, no_drop_salvage, special, restricted","Systems, Retrofits, Cosmetics, Activators",25000,,TRUE,,0,0,0,0,experimentalHullModifications.hullmods.ehm.ehm_module_base,,,,data/graphics/experimental_smol.png,,true,,,,
Experimental Hull Unmodification,ehm_undo,1,,Experimental,"ehm, no_build_in, no_drop, no_drop_salvage, special, restricted","Systems, Retrofits, Cosmetics, Activators",25000,,,,0,0,0,0,experimentalHullModifications.hullmods.ehm.ehm_undo,Can be used to remove the base hull modification from the ship. Are you sure? <Continue> <Cancel>,Removes EHM base from the ship.,,graphics/icons/skills/reliability_engineering.png,true,,,,,
EHM Test,ehm_test,1,,Experimental,"ehm, no_drop, no_drop_salvage, special, restricted","Systems, Retrofits, Cosmetics, Activators",25000,,,,0,0,0,0,experimentalHullModifications.hullmods._ehm_test,,,,graphics/fx/engineflame32-orig.png,,true,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Disruptor,ehm_sr_acausaldisruptor,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_acausaldisruptor,,,,graphics/icons/hullsys/quantum_disruptor.png,,,,"reqBase, reqNoLogistics",,
Accelerated Ammo Feeder,ehm_sr_ammofeed,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_ammofeed,,,,graphics/icons/hullsys/ammo_feeder.png,,,,"reqBase, reqNoLogistics",,
Burn Drive,ehm_sr_burndrive,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_burndrive,,,,graphics/icons/hullsys/burn_drive.png,,,,"reqBase, reqNoLogistics",,
Canister Flak,ehm_sr_canister_flak,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,,,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_canister_flak,,,,,,,,"reqBase, reqNoLogistics",,
Chiral Figment,ehm_sr_chiral_figment,1,,Experimental,"ehm, ehm_sr, no_build_in, no_drop, no_drop_salvage, special, restricted",Systems,25000,,TRUE,TRUE,3,6,9,15,experimentalHullModifications.hullmods.ehm_sr.ehm_sr_chiral_figment,,,,graphics/icons/hullsys/interdictor_array.png,,true,,"reqBase, reqNoLogistics",,
